country,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
Belarus,,,,,,,,,,,,,,,,,60.6,55.4,59.9,62.5,62.5,62.5,62.9,62.9,63,64.2,64.2,64.2,64.2,69,66.8,66.8,68.7,69.7,69.7,67.2,67.2,66.5,66.5,67.1,67.4,70.3,73.5,70.9,74.2,70.6,63.7
Bolivia,23.8,23.8,23.8,23.8,24.2,25.6,21.2,24.4,28.1,28.4,32.4,32.4,32.4,32.4,34,35.5,35.5,35,35.6,36.3,38.8,40,41.4,41.4,43.2,43.6,43.6,44.2,44.2,44.2,45.3,50.7,52.1,51.8,53.1,56.3,56.1,56.1,56.1,57.6,57.6,54.8,59.4,56.6,60.7,63.6,59.3
Brazil,40.1,40.1,40.2,41.5,41.5,41.6,42.1,42.2,42.2,42.2,45.9,50,50.1,55.5,60.1,58.4,55.8,55.8,55.8,58.6,62,62.7,62.7,64.4,64.4,64.4,64.4,68.6,68.6,70.2,70.2,70.2,71.4,70.3,70.2,73.4,75.4,75.4,75.1,75.2,75.2,70.7,61.4,60.3,59.8,62.3,58.4
Barbados,66.3,66,66,66,66,68.3,68.3,68.3,68.3,68.3,68.5,68.5,68.5,68.5,68.8,71,71,71,71,71.5,71.9,71.9,71.9,71.9,71.9,71.9,71.8,71.8,74,72.3,72.3,74.2,72.3,72,72,72,72,72,72.5,72.5,72.5,72.5,73.6,75.7,75.7,77.1,78.8
Bhutan,32.9,32.9,32.9,32.9,32.9,34.4,36.5,35.1,35.1,35.1,35.1,35.1,35.1,35.1,35.1,37.7,37.1,37.1,37.1,37.1,38.8,39.1,39.6,41.1,42.9,46.5,48,48,48.1,50,51.1,50.1,48.5,54.6,52.5,56.2,55.6,54.1,57.6,56,56,62.1,57.7,59.8,56.5,58.9,61.4
Botswana,41.4,45.7,41.4,41.4,42.8,42.8,40.4,43.5,45.4,43.7,46.9,48.9,46.9,46.9,44.1,44.4,44.4,44.4,47.3,48.4,49.7,47.7,49.7,49.7,51.7,52,52,52,52,51.1,52.4,52.4,50.7,54.3,52.1,52.1,54.1,54.1,56.3,56.5,56.7,56.4,56.4,54.6,58,56.7,56.3
Central African Republic,33.6,33.6,33.6,33.6,33.6,37.7,34.4,36.3,36.3,34.4,36.3,36.3,34.1,36.1,36.1,37.8,37.8,37.8,40.1,40.1,40.1,42.4,42.4,43.2,43.2,44.6,44.6,44.6,40.1,44.8,43.8,43.8,43.8,45.4,43.6,45.2,45.6,45.6,44.5,45.8,48.3,45.5,45.3,47.8,44.8,44.9,44.5
Canada,58,59.2,62.3,62.3,62.3,62.4,63.1,67.6,69.3,68.5,69.7,70,68.8,70.4,69.3,73.3,71.1,71.1,72.7,76.2,76.2,76.2,78.7,78.7,78.7,81.9,81.9,81.9,83.4,83.6,82.1,79.7,76.7,78.7,79.3,79.3,78.3,78.3,78.3,78.3,80.2,82.4,84.3,84.3,89.1,81.5,79.8
Switzerland,57.2,57.4,57.4,57.4,58,59.2,61.3,61.3,61.3,61.3,62.7,62.7,63,63,63,68.2,68.6,68.6,68.7,68.7,68.9,69.1,69.1,70.3,70.3,75,75,75,78.3,78.5,78.5,72.8,74.5,75.1,74.5,75.7,75.9,75.9,75.9,75.9,76.3,75.1,75.1,76.5,76.9,84.4,84.4
Chile,23.9,23.9,26.5,26.5,26.5,28.6,28.6,32.3,32.3,32.3,32.5,32.5,32.5,32.5,30.8,46,46,46.6,44.7,46.9,46.9,46.6,47.4,47.4,47.4,59.1,59.3,59.3,59.3,59.3,61.3,61.3,61.7,61.7,61.1,61.1,61.1,61.1,61.5,64.5,63.6,59.8,61.4,60.6,61.4,62.8,61.8
China,44.3,44.7,44.7,43.7,43.7,46.4,46.5,46.5,46.5,46.7,46.7,45.1,45.1,45.1,45.1,46.1,46.1,46.4,46.4,46.4,46.4,46.4,46.4,46.6,46.6,47.6,47.6,47.6,47.8,47.7,47.7,47.9,46.1,48.3,46.5,49.5,50,49.7,49.4,49.5,49.6,49.8,50,50,50,50,48.8
Cote d'Ivoire,36.7,36.7,36.7,36.7,36.7,35.6,37.8,37.8,37.8,37.8,38.1,38.1,38.1,38.1,38.3,40.2,40.2,40.2,40.2,44.3,45,46.5,48.6,48.6,48.9,53.8,53.2,53.2,51.5,51.5,51.5,51.9,52.1,51.9,51.9,52.5,52.5,52.7,51.9,51.9,51.9,50.9,51.4,51.4,51.6,52.1,53.7
Cameroon,24.8,24.8,24.8,25.8,25.8,25.8,29.4,28.1,30.2,33.8,32.7,32.7,32.7,30.6,30.6,38,37.9,39.3,37.8,39.3,39.3,39.3,38.4,39.3,39.3,45.6,48,48.5,47.2,47.2,47.2,47.2,47.8,47.8,47.8,50.5,50.7,50.7,51.6,51.6,51.6,50.7,52.6,49.8,52,52.3,53.3
"Congo, Dem. Rep.",23.7,23.7,20.9,20.9,20.9,27.1,26.9,27.8,27.8,27.8,27.8,27.8,27,31.8,30.5,30.8,30.6,33.5,37.3,38.7,38.7,38.7,38.7,38.9,38.9,40.3,39,39,41.4,40.1,40.1,39.8,39.8,39.8,39.8,40.8,41,41.2,41.4,41.4,39.6,42.3,45.2,45.3,44.6,44.6,45.9
